area,rooms,bathroom,parking spaces,floor,animal,furniture,total,city_Belo Horizonte,city_Campinas,city_Porto Alegre,city_Rio de Janeiro,city_São Paulo
70,2,1,1,7,1,1,5618,0,0,0,0,1
320,4,4,0,20,1,0,7973,0,0,0,0,1
80,1,1,1,6,1,0,3841,0,0,1,0,0
51,2,1,0,2,1,0,1421,0,0,1,0,0
25,1,1,0,1,0,0,836,0,0,0,0,1
376,3,3,7,0,1,0,8955,0,0,0,0,1
72,2,1,0,7,1,0,2750,0,0,0,1,0
213,4,4,4,4,1,0,7253,0,0,0,0,1
152,2,2,1,3,1,1,16440,0,0,0,0,1
35,1,1,0,2,1,1,2955,0,0,0,1,0
26,1,1,0,2,1,1,2747,0,0,0,0,1
46,1,1,1,10,1,0,1181,0,1,0,0,0
36,1,1,0,11,1,0,2556,0,0,0,0,1
55,1,1,1,2,1,1,5268,0,0,0,0,1
100,2,2,2,24,1,1,5343,0,0,0,0,1
330,4,6,6,0,1,1,9129,0,1,0,0,0
110,2,2,1,1,1,0,3861,0,0,0,0,1
88,2,3,1,9,0,1,5351,0,0,0,1,0
56,2,1,0,8,1,0,2036,0,0,0,1,0
100,7,4,0,0,1,0,3976,0,0,0,0,1
42,1,1,1,17,0,1,3368,1,0,0,0,0
160,3,2,2,18,1,1,3622,0,0,0,0,1
35,1,1,0,0,1,0,1117,0,0,0,0,1
90,3,2,1,7,1,0,2742,0,0,0,1,0
49,1,1,1,10,1,0,4067,0,0,0,0,1
41,1,1,1,5,0,1,3639,0,0,0,0,1
64,2,2,1,11,1,0,1952,1,0,0,0,0
208,3,2,4,0,1,0,3328,0,1,0,0,0
20,1,1,0,5,1,1,2555,0,0,0,0,1
55,2,2,2,6,1,0,2004,0,0,0,0,1
32,1,1,0,3,1,0,2266,0,0,0,0,1
80,2,2,1,11,1,0,4007,0,0,0,0,1
45,1,1,1,10,1,1,5576,0,0,0,1,0
350,4,4,3,8,1,0,6651,0,0,0,0,1
38,1,1,2,11,0,0,2226,0,0,1,0,0
30,1,1,0,1,1,0,2081,0,0,0,0,1
80,3,2,1,0,1,0,11610,1,0,0,0,0
70,2,1,0,0,0,0,1227,0,0,0,0,1
40,1,1,1,6,1,1,3424,0,0,1,0,0
300,4,6,4,20,1,0,17440,0,0,0,0,1
240,3,2,3,0,1,0,3845,0,0,0,0,1
200,4,2,1,7,0,0,3443,1,0,0,0,0
45,1,1,1,5,1,0,2335,1,0,0,0,0
360,4,5,0,1,1,0,12490,0,0,0,0,1
40,1,1,1,10,1,1,3840,0,0,0,0,1
100,3,1,0,13,0,0,1947,1,0,0,0,0
42,1,1,2,2,1,1,2003,0,0,1,0,0
250,3,3,2,1,1,0,4178,0,1,0,0,0
48,1,1,1,2,1,1,2185,0,1,0,0,0
90,3,3,1,10,1,0,5246,0,0,0,1,0
45,1,2,1,15,1,1,4956,0,0,0,0,1
150,2,3,4,6,1,0,6452,0,0,0,1,0
60,2,1,0,2,1,0,1664,0,0,0,0,1
31,1,1,0,4,1,0,2806,0,0,0,0,1
210,4,5,4,4,0,0,11540,0,0,0,0,1
280,3,1,2,0,1,0,6204,0,0,0,0,1
93,2,3,2,9,1,0,6366,0,1,0,0,0
75,3,2,1,9,1,0,2276,0,0,1,0,0
194,3,4,3,0,1,0,4131,0,0,0,0,1
41,1,1,1,6,1,1,4705,0,0,0,0,1
65,1,1,1,8,1,1,7416,0,0,0,1,0
70,2,1,1,13,1,0,3006,0,0,0,0,1
278,4,5,2,16,1,1,14430,0,0,0,0,1
35,1,1,0,5,1,0,1868,0,0,0,1,0
300,4,4,3,2,1,0,8794,0,1,0,0,0
61,2,1,1,4,1,0,2333,0,0,0,0,1
130,3,2,1,7,1,0,3857,0,0,0,1,0
80,2,1,1,20,1,0,1502,0,0,0,1,0
164,4,4,2,6,0,0,7609,0,0,0,0,1
220,4,2,3,3,1,0,3030,1,0,0,0,0
45,1,1,0,0,1,0,1112,0,0,0,0,1
108,3,2,2,7,1,0,7396,0,0,0,0,1
128,1,1,0,4,1,1,2728,1,0,0,0,0
60,1,1,0,10,0,0,2322,0,0,0,1,0
250,4,5,4,6,1,0,12970,0,0,0,0,1
47,1,1,1,1,0,1,2633,0,0,1,0,0
170,4,3,4,9,0,0,3776,1,0,0,0,0
45,1,1,0,1,0,0,1556,0,0,0,0,1
42,1,1,1,15,1,0,4354,0,0,0,0,1
164,4,4,3,1,1,0,8467,0,0,0,0,1
70,3,1,1,1,1,0,1933,0,0,0,0,1
100,4,3,1,8,1,0,2992,0,0,1,0,0
64,2,2,2,4,1,1,6298,0,0,0,0,1
68,2,1,1,3,1,0,1563,1,0,0,0,0
75,2,2,2,14,0,0,3418,1,0,0,0,0
600,4,4,4,9,1,0,19380,0,0,0,0,1
63,2,2,0,15,0,0,2312,0,0,0,0,1
145,3,4,3,1,0,0,8027,0,0,0,0,1
85,2,2,2,3,0,0,4628,0,0,0,0,1
254,4,4,4,7,1,0,14280,0,0,0,0,1
350,4,4,4,0,1,1,9520,0,0,1,0,0
300,4,4,3,0,1,0,4137,0,0,0,0,1
296,4,3,2,0,1,0,14150,1,0,0,0,0
64,2,2,2,8,1,0,3316,0,0,0,0,1
133,3,2,0,6,1,0,3846,0,0,0,0,1
44,1,1,0,7,1,0,919,0,1,0,0,0
240,3,4,2,0,1,0,3296,0,1,0,0,0
70,3,2,1,4,1,0,3035,0,0,1,0,0
22,1,1,0,26,1,0,2423,0,0,0,0,1
50,1,1,1,1,1,0,1364,0,0,1,0,0
67,3,2,2,4,1,0,2883,0,0,1,0,0
31,1,1,0,6,1,1,2760,0,0,0,0,1
90,2,1,1,1,1,1,4554,0,0,0,1,0
109,3,3,1,1,1,0,6149,0,0,0,1,0
400,4,2,2,0,0,0,2615,1,0,0,0,0
300,4,5,4,0,1,1,15380,0,0,0,0,1
284,4,3,3,4,1,0,8900,0,1,0,0,0
70,2,1,1,3,1,1,2826,0,0,1,0,0
309,4,5,4,7,1,0,9927,0,0,0,1,0
70,2,1,0,0,1,0,2266,0,0,0,0,1
360,3,4,1,10,1,0,13010,0,0,0,0,1
30,1,1,1,10,0,0,2406,0,0,0,0,1
80,2,2,2,11,1,0,3231,0,1,0,0,0
133,4,4,3,6,0,0,9394,1,0,0,0,0
38,1,1,1,14,0,1,4735,0,0,0,0,1
73,2,2,1,7,1,0,4745,0,0,0,0,1
155,3,4,2,4,1,0,3676,0,0,0,0,1
63,2,2,1,15,1,0,3648,0,0,0,0,1
58,2,1,1,1,1,0,1418,0,0,0,0,1
48,1,1,0,9,0,1,3871,0,0,0,0,1
210,3,4,3,7,1,0,5360,0,0,0,0,1
100,3,2,2,2,1,0,2145,1,0,0,0,0
94,3,2,2,1,1,0,5093,0,0,0,0,1
94,3,3,2,3,1,1,6689,0,0,0,0,1
76,3,1,1,4,1,0,3999,0,0,0,0,1
192,3,3,2,13,1,0,10630,0,0,0,0,1
217,3,4,3,1,1,0,9467,0,0,0,0,1
68,2,1,1,5,1,0,2063,0,0,0,0,1
110,3,2,2,2,1,0,3823,0,0,0,0,1
95,2,2,1,3,1,0,2446,1,0,0,0,0
34,1,1,0,5,0,0,1608,0,0,0,0,1
192,3,4,3,5,1,0,10100,0,0,0,0,1
62,2,2,1,9,1,0,2252,0,0,1,0,0
180,3,3,4,0,1,0,3940,0,0,0,0,1
44,1,1,0,3,1,1,1290,0,1,0,0,0
100,2,1,1,1,0,0,2089,1,0,0,0,0
140,3,3,1,24,0,0,2388,0,0,0,1,0
170,3,3,3,8,1,1,5054,0,0,0,0,1
100,3,2,2,0,0,0,1775,0,0,0,0,1
75,3,2,2,4,1,0,2355,0,0,0,0,1
52,2,1,0,2,1,0,1459,0,0,0,1,0
270,4,4,4,8,1,0,10790,0,0,0,0,1
50,2,1,1,1,1,0,1163,1,0,0,0,0
200,3,3,2,0,1,0,3078,0,1,0,0,0
71,2,2,0,16,1,0,2475,0,0,0,0,1
500,5,4,6,0,1,0,13450,0,0,0,0,1
60,2,1,0,0,1,0,1191,0,0,0,0,1
110,2,1,0,8,1,0,2501,0,0,0,0,1
210,3,3,4,0,1,0,3620,0,0,0,0,1
220,3,4,3,8,1,0,9094,0,0,0,0,1
200,3,2,5,0,0,0,4270,1,0,0,0,0
130,3,4,3,2,1,0,7106,0,0,0,0,1
65,2,2,2,7,1,1,5333,0,0,0,0,1
96,3,2,2,17,1,0,4295,0,0,0,0,1
107,3,2,0,7,1,1,4972,0,0,0,1,0
105,3,2,0,1,1,0,2978,0,0,0,1,0
100,3,2,0,7,1,0,4342,0,0,0,1,0
287,3,4,4,0,1,1,9566,0,0,0,0,1
24,1,1,0,1,0,1,1434,0,1,0,0,0
22,1,1,0,0,0,0,991,0,0,0,0,1
70,1,1,1,0,0,0,2710,0,0,0,0,1
44,1,1,1,2,1,1,1789,0,0,1,0,0
150,3,2,2,0,0,0,2538,0,0,0,0,1
90,1,2,2,9,1,1,4155,0,0,0,0,1
